Name;Address;Datatype;Description;Enhet;Meas interval;Meas unit;New tag
PMI60_02_00_B_REF;D4812;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PMI60_02_00_B_REF
PMI60_02_00_DRIFTSKLAR;D904.8;BOOL;PMI60_02_00 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PMI60_02_00_DRIFTSKLAR
PMI60_02_00_F_REF;D4811;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PMI60_02_00_F_REF
PMI60_02_00_RUNNING;M2681;BOOL;PMI60_02_00 Running fram eller back;Av/på;0;Ved Endring;P_THP_PMI60_02_00_RUNNING
PMI70_00_01_ACC_CURR;D662;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PMI70_00_01_ACC_CURR
PMI70_00_01_ACC_SPEED;D660;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PMI70_00_01_ACC_SPEED
PMI70_00_01_DRIFTSKLAR;D904.E;BOOL;PMI70_00_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PMI70_00_01_DRIFTSKLAR
PMI70_00_01_F_REF;D4806;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PMI70_00_01_F_REF
PMI70_00_01NY_RUNNING;M3181;BOOL;PMI70_00_01NY Running fram eller back;Av/på;0;Ved Endring;P_THP_PMI70_00_01NY_RUNNING
PMI72_00_01_ACC_CURR;D698;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PMI72_00_01_ACC_CURR
PMI72_00_01_ACC_SPEED;D696;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PMI72_00_01_ACC_SPEED
PMI72_00_01_DRIFTSKLAR;D905.1;BOOL;PMI72_00_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PMI72_00_01_DRIFTSKLAR
PMI72_00_01_F_REF;D4807;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PMI72_00_01_F_REF
PPU01_01_01_ACC_CURR;D518;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU01_01_01_ACC_CURR
PPU01_01_01_ACC_SPEED;D516;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU01_01_01_ACC_SPEED
PPU01_01_01_DRIFTSKLAR;D904.2;BOOL;PPU01_01_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU01_01_01_DRIFTSKLAR
PPU01_02_01_ACC_CURR;D530;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU01_02_01_ACC_CURR
PPU01_02_01_ACC_SPEED;D528;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU01_02_01_ACC_SPEED
PPU01_02_01_DRIFTSKLAR;D904.3;BOOL;PPU01_02_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU01_02_01_DRIFTSKLAR
PPU03_01_01_D;XC4;BOOL;Sandpump Drift;Av/på;0;Ved Endring;P_THP_PPU03_01_01_D
PPU03_01_02_D;XE0;BOOL;Sandpump Drift;Av/på;0;Ved Endring;P_THP_PPU03_01_02_D
PPU03_01_03_ACC_CURR;D542;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU03_01_03_ACC_CURR
PPU03_01_03_ACC_SPEED;D540;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU03_01_03_ACC_SPEED
PPU03_01_03_DRIFTSKLAR;D904.4;BOOL;PPU03_01_03 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU03_01_03_DRIFTSKLAR
PPU03_01_04_ACC_CURR;D794;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU03_01_04_ACC_CURR
PPU03_01_04_ACC_SPEED;D792;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU03_01_04_ACC_SPEED
PPU03_01_04_DRIFTSKLAR;D905.9;BOOL;PPU03_01_04 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU03_01_04_DRIFTSKLAR
PPU04_01_01_D;X71;BOOL;Cirkulationspump Drift;Av/på;0;Ved Endring;P_THP_PPU04_01_01_D
PPU04_01_02_ACC_CURR;D554;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU04_01_02_ACC_CURR
PPU04_01_02_ACC_SPEED;D552;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU04_01_02_ACC_SPEED
PPU04_01_02_DRIFTSKLAR;D904.5;BOOL;PPU04_01_02 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU04_01_02_DRIFTSKLAR
PPU04_02_01_D;X77;BOOL;Cirkulationspump Drift;Av/på;0;Ved Endring;P_THP_PPU04_02_01_D
PPU04_02_02_ACC_CURR;D566;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU04_02_02_ACC_CURR
PPU04_02_02_ACC_SPEED;D564;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU04_02_02_ACC_SPEED
